Format :

name
found in file
CRC (hex)		Hash Code (dec)
fighter_br_n        MISSIONS\formations.ini         0xf0d53fb6		2675488323
fighter_br_p        MISSIONS\formations.ini         0x1eda02d5		2675666498
fighter_guild       MISSIONS\formations.ini         0xff4983c6		2833624838
fighter_ku_n        MISSIONS\formations.ini         0xf8de2437		2205188104
fighter_ku_p        MISSIONS\formations.ini         0x16d11954		2205374473
fighter_li_lsf      MISSIONS\formations.ini         0xeddc69b3		2816383237
fighter_li_n        MISSIONS\formations.ini         0xe0c5ece0		3007895566
fighter_li_p        MISSIONS\formations.ini         0x0ecad183		3008036879
fighter_pirate      MISSIONS\formations.ini         0xf59e50c4		3007436363
fighter_rh_n        MISSIONS\formations.ini         0x03cf1a6f		3071857347
fighter_rh_p        MISSIONS\formations.ini         0xedc0270c		3072002754
freighter_basic         MISSIONS\formations.ini         0xf7073a8d		3136013454
freighter_bretonia      MISSIONS\formations.ini         0xf15d6bef		2438948035
freighter_guild         MISSIONS\formations.ini         0xe41b28f2		2587838465
freighter_kusari        MISSIONS\formations.ini         0xee2bd521		2845779586
freighter_liberty       MISSIONS\formations.ini         0xf6dbc507		2929907595
freighter_pirate        MISSIONS\formations.ini         0x0c31f6da		2311032260
freighter_rheinland         MISSIONS\formations.ini         0x0eca040a		2483158540
freighter2_basic        MISSIONS\formations.ini         0x0fc25b7c		2571789696
freighter2_bretonia         MISSIONS\formations.ini         0x0881c029		3086340748
freighter2_guild        MISSIONS\formations.ini         0x1cde4903		3114199311
freighter2_kusari       MISSIONS\formations.ini         0xfa69d2ca		2284843208
freighter2_liberty      MISSIONS\formations.ini         0xf317bcf0		2657379649
freighter2_pirate       MISSIONS\formations.ini         0x1873f131		2819578766
freighter2_rheinland        MISSIONS\formations.ini         0xf834bf24		3198482695
transport_bretonia      MISSIONS\formations.ini         0xf6abe262		2958862084
transport_guild         MISSIONS\formations.ini         0xe6d7f8d7		2431432325
transport_kusari        MISSIONS\formations.ini         0xe32dcdb6		2590309952
transport_liberty       MISSIONS\formations.ini         0x02bdc5f8		3043219844
transport_rheinland         MISSIONS\formations.ini         0xebc40d1e		2547165510
transport2_bretonia         MISSIONS\formations.ini         0xed8fc93d		3022423494
transport2_guild        MISSIONS\formations.ini         0x11d85194		2321887693
transport2_kusari       MISSIONS\formations.ini         0x0e0fd235		2481913543
transport2_liberty      MISSIONS\formations.ini         0xf4e1357d		3211241094
transport2_rheinland        MISSIONS\formations.ini         0xfa0b6550		2381479751
csv_fc_j        MISSIONS\formations.ini         0xe89fc4b8		3220982408
cruiser_li_n        MISSIONS\formations.ini         0xfb53120b		2712532100
cruiser2_li_n       MISSIONS\formations.ini         0x0fe40122		2829485066
cruiser3_li_n       MISSIONS\formations.ini         0x18f1fa60		2829304840
multiplayer_freighter       MISSIONS\formations.ini         0xf8c02f4a		2713254152
convoy1         MISSIONS\formations.ini         0xe63ab887		2522477888
delta_high      MISSIONS\formations.ini         0x1834f3f0		3053770958
delta_flat      MISSIONS\formations.ini         0xf8014115		2731494082
echelon4_l      MISSIONS\formations.ini         0x1a399b3b		2161578759
echelon4x_l         MISSIONS\formations.ini         0xfcee9d14		2909961804
echelon4_r      MISSIONS\formations.ini         0xf436a658		2161429254
default_commodity       MISSIONS\lootprops.ini      0x1851def5		2861081600
default_equipment       MISSIONS\lootprops.ini      0xef558a49		3211223883
ge_s_battery_01         MISSIONS\lootprops.ini      0x179c884a		2596081674
ge_s_repair_01      MISSIONS\lootprops.ini      0xee61f4e2		2911012559
commodity_boron         MISSIONS\lootprops.ini      0xeec4af53		2810414853
commodity_beryllium         MISSIONS\lootprops.ini      0x1a27cf53		2723152328
commodity_gold      MISSIONS\lootprops.ini      0xe6bcaa2d		2866206539
commodity_cobalt        MISSIONS\lootprops.ini      0x04da31fc		3147243791
commodity_silver        MISSIONS\lootprops.ini      0xed84527a		2518124616
commodity_toxic_waste       MISSIONS\lootprops.ini      0xe583e88f		2571848195
commodity_scrap_metal       MISSIONS\lootprops.ini      0x196d4785		2587568141
commodity_hydrocarbons      MISSIONS\lootprops.ini      0x06d6d1c4		2575917064
commodity_niobium       MISSIONS\lootprops.ini      0x13b910bd		2977071884
commodity_copper        MISSIONS\lootprops.ini      0x13bf97cf		3200496391
commodity_oxygen        MISSIONS\lootprops.ini      0xeb436698		2593638279
commodity_water         MISSIONS\lootprops.ini      0xee65aa4e		2532875145
commodity_diamonds      MISSIONS\lootprops.ini      0x138f5565		2815770241
commodity_alien_organisms       MISSIONS\lootprops.ini      0xf2b758ce		2999087814
commodity_food      MISSIONS\lootprops.ini      0x03517af5		2863847232
commodity_alien_artifacts       MISSIONS\lootprops.ini      0xe8b74284		2878617798
commodity_luxury_food       MISSIONS\lootprops.ini      0x02ba277e		2345786242
commodity_fertilizers       MISSIONS\lootprops.ini      0xfccfe8a3		2862341261
commodity_mox_fuel      MISSIONS\lootprops.ini      0xf2889818		2223065418
commodity_H_fuel        MISSIONS\lootprops.ini      0x0467653f		2866034054
commodity_basic_alloys      MISSIONS\lootprops.ini      0x10a5678e		2664163777
commodity_super_alloys      MISSIONS\lootprops.ini      0xf61531ad		2517790468
commodity_high_temp_alloys      MISSIONS\lootprops.ini      0x0caeeb30		2792430274
commodity_superconductors       MISSIONS\lootprops.ini      0x07b15a2e		3028160452
commodity_optical_chips         MISSIONS\lootprops.ini      0x1608aae7		2305243781
commodity_mining_machinery      MISSIONS\lootprops.ini      0xf677e80b		2181067140
commodity_construction_machinery        MISSIONS\lootprops.ini      0xecb1dae0		2293586633
commodity_pharm         MISSIONS\lootprops.ini      0x03dbedc2		2551124489
commodity_ship_hull_panels      MISSIONS\lootprops.ini      0x0c7ae3ef		2605271178
commodity_polymers      MISSIONS\lootprops.ini      0x08845098		3062202251
commodity_optronics         MISSIONS\lootprops.ini      0xeb71d286		2260241671
commodity_consumer_goods        MISSIONS\lootprops.ini      0xfb1817a5		2359289358
commodity_luxury_consumer_goods         MISSIONS\lootprops.ini      0xe5076b8b		2479280836
commodity_engine_components         MISSIONS\lootprops.ini      0x06bd3806		2571548236
commodity_terraforming_gases        MISSIONS\lootprops.ini      0xecbf60a8		2418501773
commodity_cardamine         MISSIONS\lootprops.ini      0xec23f569		2312093509
commodity_sidearms      MISSIONS\lootprops.ini      0x184b4e71		3065229389
commodity_tradelane_parts       MISSIONS\lootprops.ini      0x0b48d45b		2182071621
fc_j_gun01_mark01       MISSIONS\lootprops.ini      0x157109b1		2661610701
fc_j_gun01_mark02       MISSIONS\lootprops.ini      0x0e78580b		3198453965
fc_j_gun01_mark03       MISSIONS\lootprops.ini      0x077f689d		2661588173
fc_j_turret01_mark01        MISSIONS\lootprops.ini      0xe1aab2f1		2950730184
fc_j_turret01_mark02        MISSIONS\lootprops.ini      0xfaa3e34b		2413882824
fc_j_turret01_mark03        MISSIONS\lootprops.ini      0xf3a4d3dd		2950756808
fc_lr_gun01_mark01      MISSIONS\lootprops.ini      0x074a6d10		3058004237
fc_lr_gun01_mark02      MISSIONS\lootprops.ini      0x1c433caa		2521107725
fc_lr_gun01_mark03      MISSIONS\lootprops.ini      0x15440c3c		3057981709
fc_lr_gun01_mark04      MISSIONS\lootprops.ini      0xf120999f		2521167117
fc_lr_gun01_mark05      MISSIONS\lootprops.ini      0xf827a909		3058032909
fc_lr_turret01_mark01       MISSIONS\lootprops.ini      0x15667c33		2472077709
fc_lr_turret01_mark02       MISSIONS\lootprops.ini      0x0e6f2d89		3008927117
fc_lr_turret01_mark03       MISSIONS\lootprops.ini      0x07681d1f		2472051085
fc_lr_turret01_mark04       MISSIONS\lootprops.ini      0xe30c88bc		3008916877
fc_ou_gun01_mark01      MISSIONS\lootprops.ini      0xf9f29d06		3148043585
fc_ou_gun01_mark02      MISSIONS\lootprops.ini      0xe2fbccbc		2611161409
fc_ou_gun01_mark03      MISSIONS\lootprops.ini      0xebfcfc2a		3148037441
fc_ou_gun01_mark04      MISSIONS\lootprops.ini      0x0f986989		2611204417
fc_ou_gun01_mark05      MISSIONS\lootprops.ini      0x069f591f		3148072257
fc_ou_gun02_mark01      MISSIONS\lootprops.ini      0x1efa5664		2611157314
fc_ou_gun02_mark02      MISSIONS\lootprops.ini      0x05f307de		3148047682
fc_ou_gun02_mark03      MISSIONS\lootprops.ini      0x0cf43748		2611179842
fc_ou_gun02_mark04      MISSIONS\lootprops.ini      0xe890a2eb		3148062018
fc_ou_gun02_mark05      MISSIONS\lootprops.ini      0xe197927d		2611185986
fc_ou_turret01_mark01       MISSIONS\lootprops.ini      0xfe759d0c		2959745095
fc_ou_turret01_mark02       MISSIONS\lootprops.ini      0xe57cccb6		2422889543
fc_ou_turret01_mark03       MISSIONS\lootprops.ini      0xec7bfc20		2959755335
fc_ou_turret02_mark01       MISSIONS\lootprops.ini      0x197d566e		2422893636
fc_ou_turret02_mark02       MISSIONS\lootprops.ini      0x027407d4		2959740996
fc_ou_turret02_mark03       MISSIONS\lootprops.ini      0x0b733742		2422867012
fc_c_gun01_mark01       MISSIONS\lootprops.ini      0xf7540105		2833538252
fc_c_gun01_mark02       MISSIONS\lootprops.ini      0xec5d50bf		2296651980
fc_c_gun01_mark03       MISSIONS\lootprops.ini      0xe55a6029		2833528012
fc_c_gun01_mark04       MISSIONS\lootprops.ini      0x013ef58a		2296699084
fc_c_gun01_mark05       MISSIONS\lootprops.ini      0x0839c51c		2833566924
fc_c_gun02_mark01       MISSIONS\lootprops.ini      0x105cca67		2296647887
fc_c_gun02_mark02       MISSIONS\lootprops.ini      0x0b559bdd		2833542351
fc_c_gun02_mark03       MISSIONS\lootprops.ini      0x0252ab4b		2296674511
fc_c_turret01_mark01        MISSIONS\lootprops.ini      0x12b66290		2329930695
fc_c_turret01_mark02        MISSIONS\lootprops.ini      0x09bf332a		2866780103
fc_c_turret01_mark03        MISSIONS\lootprops.ini      0x00b803bc		2329904071
fc_c_turret02_mark01        MISSIONS\lootprops.ini      0xf5bea9f2		2866784196
fc_c_turret02_mark02        MISSIONS\lootprops.ini      0xeeb7f848		2329926596
fc_or_gun01_mark01      MISSIONS\lootprops.ini      0x0131ff85		2523073857
fc_or_gun01_mark02      MISSIONS\lootprops.ini      0x1a38ae3f		3059970369
fc_or_gun02_mark01      MISSIONS\lootprops.ini      0xe63934e7		3059958082
fc_or_gun02_mark02      MISSIONS\lootprops.ini      0xfd30655d		2523086146
fc_or_turret01_mark01       MISSIONS\lootprops.ini      0xe2f02002		2896229966
fc_or_turret02_mark01       MISSIONS\lootprops.ini      0x05f8eb60		2359343693
gd_gm_gun01_mark01      MISSIONS\lootprops.ini      0xe0999462		2492557440
gd_gm_gun01_mark02      MISSIONS\lootprops.ini      0xfb90c5d8		3029406848
gd_gm_gun01_mark03      MISSIONS\lootprops.ini      0xf297f54e		2492530816
gd_gm_gun01_mark04      MISSIONS\lootprops.ini      0x16f360ed		3029462144
gd_gm_turret01_mark01       MISSIONS\lootprops.ini      0xf2794570		3088456655
gd_gm_turret01_mark02       MISSIONS\lootprops.ini      0xe97014ca		2551605199
gd_gm_turret01_mark03       MISSIONS\lootprops.ini      0xe077245c		3088479183
gd_im_gun01_mark01      MISSIONS\lootprops.ini      0x023ed707		2490151175
gd_im_gun01_mark02      MISSIONS\lootprops.ini      0x193786bd		3027029255
gd_im_gun01_mark03      MISSIONS\lootprops.ini      0x1030b62b		2490161415
gd_im_gun01_mark04      MISSIONS\lootprops.ini      0xf4542388		3026990343
gd_im_gun01_mark05      MISSIONS\lootprops.ini      0xfd53131e		2490114311
gd_im_turret01_mark01       MISSIONS\lootprops.ini      0xe59ba0d4		2913399106
gd_im_turret01_mark02       MISSIONS\lootprops.ini      0xfe92f16e		2376502594
gd_im_turret01_mark03       MISSIONS\lootprops.ini      0xf795c1f8		2913376578
gd_bh_gun01_mark01      MISSIONS\lootprops.ini      0xe97589e3		2979767297
gd_bh_gun01_mark02      MISSIONS\lootprops.ini      0xf27cd859		2442909697
gd_bh_gun01_mark03      MISSIONS\lootprops.ini      0xfb7be8cf		2979777537
gd_bh_gun01_mark04      MISSIONS\lootprops.ini      0x1f1f7d6c		2442862593
gd_bh_gun01_mark05      MISSIONS\lootprops.ini      0x16184dfa		2979738625
gd_bh_gun01_mark06      MISSIONS\lootprops.ini      0x0d111c40		2442872833
gd_bh_gun02_mark01      MISSIONS\lootprops.ini      0x0e7d4281		2442913794
gd_bh_gun02_mark02      MISSIONS\lootprops.ini      0x1574133b		2979763202
gd_bh_gun02_mark03      MISSIONS\lootprops.ini      0x1c7323ad		2442887170
gd_bh_gun02_mark04      MISSIONS\lootprops.ini      0xf817b60e		2979752962
gd_bh_gun02_mark05      MISSIONS\lootprops.ini      0xf1108698		2442885122
gd_bh_turret01_mark01       MISSIONS\lootprops.ini      0xeeec8881		2900244931
gd_bh_turret01_mark02       MISSIONS\lootprops.ini      0xf5e5d93b		2363377091
gd_bh_turret01_mark03       MISSIONS\lootprops.ini      0xfce2e9ad		2900251075
gd_bh_turret01_mark04       MISSIONS\lootprops.ini      0x18867c0e		2363407811
gd_bh_turret02_mark01       MISSIONS\lootprops.ini      0x09e443e3		2363389376
gd_bh_turret02_mark02       MISSIONS\lootprops.ini      0x12ed1259		2900232640
gd_bh_turret02_mark03       MISSIONS\lootprops.ini      0x1bea22cf		2363366848
fc_rh_gun01_mark01      MISSIONS\lootprops.ini      0xf1bb3919		3111877128
fc_rh_gun01_mark02      MISSIONS\lootprops.ini      0xeab268a3		2574976520
fc_rh_gun01_mark03      MISSIONS\lootprops.ini      0xe3b55835		3111850504
fc_rh_gun01_mark04      MISSIONS\lootprops.ini      0x07d1cd96		2575040008
fc_rh_turret01_mark01       MISSIONS\lootprops.ini      0xe87a9390		3120401870
fc_rh_turret01_mark02       MISSIONS\lootprops.ini      0xf373c22a		2583556558
fc_bd_gun01_mark01      MISSIONS\lootprops.ini      0xf1c88b36		2335807624
fc_bd_gun01_mark02      MISSIONS\lootprops.ini      0xeac1da8c		2872697992
fc_bd_gun01_mark03      MISSIONS\lootprops.ini      0xe3c6ea1a		2335830152
fc_bd_gun01_mark04      MISSIONS\lootprops.ini      0x07a27fb9		2872646792
fc_bd_turret01_mark01       MISSIONS\lootprops.ini      0x10a634f1		2619596617
fc_bd_turret01_mark02       MISSIONS\lootprops.ini      0x0baf654b		3156452169
fc_b_gun01_mark01       MISSIONS\lootprops.ini      0x06102c84		3164894412
fc_b_gun01_mark02       MISSIONS\lootprops.ini      0x1d197d3e		2627995852
fc_b_gun01_mark03       MISSIONS\lootprops.ini      0x141e4da8		3164871884
fc_b_turret01_mark01        MISSIONS\lootprops.ini      0xf148b2b0		2395636173
fc_b_turret01_mark02        MISSIONS\lootprops.ini      0xea41e30a		2932538829
gd_z_gun01_mark01       MISSIONS\lootprops.ini      0x08bd00ef		2957771599
gd_z_gun01_mark02       MISSIONS\lootprops.ini      0x13b45155		2420932431
gd_z_gun01_mark03       MISSIONS\lootprops.ini      0x1ab361c3		2957798223
gd_z_gun01_mark04       MISSIONS\lootprops.ini      0xfed7f460		2420934479
gd_z_gun01_mark05       MISSIONS\lootprops.ini      0xf7d0c4f6		2957808463
gd_z_turret01_mark01        MISSIONS\lootprops.ini      0x18341084		2509614920
gd_z_turret01_mark02        MISSIONS\lootprops.ini      0x033d413e		3046495048
gd_z_turret01_mark03        MISSIONS\lootprops.ini      0x0a3a71a8		2509621064
fc_lh_gun01_mark01      MISSIONS\lootprops.ini      0xecdaa990		3099894030
fc_lh_gun01_mark02      MISSIONS\lootprops.ini      0xf7d3f82a		2563038478
fc_lh_gun01_mark03      MISSIONS\lootprops.ini      0xfed4c8bc		3099904270
fc_lh_turret01_mark01       MISSIONS\lootprops.ini      0xf772e656		3089894851
fc_lh_turret01_mark02       MISSIONS\lootprops.ini      0xec7bb7ec		2553049539
fc_h_gun01_mark01       MISSIONS\lootprops.ini      0xf0220245		3055871181
fc_h_gun01_mark02       MISSIONS\lootprops.ini      0xeb2b53ff		2518980813
fc_h_gun01_mark03       MISSIONS\lootprops.ini      0xe22c6369		3055848653
fc_h_turret01_mark01        MISSIONS\lootprops.ini      0xfe05e89d		2812937673
fc_h_turret01_mark02        MISSIONS\lootprops.ini      0xe50cb927		2276096457
fc_m_gun01_mark01       MISSIONS\lootprops.ini      0xedb26b32		3009719501
fc_m_gun01_mark02       MISSIONS\lootprops.ini      0xf6bb3a88		2472857805
fc_m_gun01_mark03       MISSIONS\lootprops.ini      0xffbc0a1e		3009725645
fc_m_turret01_mark01        MISSIONS\lootprops.ini      0xfd2f0fff		3005892545
fc_m_turret01_mark02        MISSIONS\lootprops.ini      0xe6265e45		2469018561
fc_g_gun01_mark01       MISSIONS\lootprops.ini      0x1b8045f3		3118742732
fc_g_gun01_mark02       MISSIONS\lootprops.ini      0x00891449		2581872844
fc_g_gun01_mark03       MISSIONS\lootprops.ini      0x098e24df		3118748876
fc_g_gun01_mark04       MISSIONS\lootprops.ini      0xedeab17c		2581903564
fc_u_gun01_mark01       MISSIONS\lootprops.ini      0xe371a446		2506452174
fc_u_gun01_mark02       MISSIONS\lootprops.ini      0xf878f5fc		3043299534
fc_u_gun01_mark03       MISSIONS\lootprops.ini      0xf17fc56a		2506425550
fc_gc_gun01_mark01      MISSIONS\lootprops.ini      0x1d779d43		2259895305
fc_gc_gun01_mark02      MISSIONS\lootprops.ini      0x067eccf9		2796763145
fc_gc_gun01_mark03      MISSIONS\lootprops.ini      0x0f79fc6f		2259889161
fc_lwb_gun01_mark01         MISSIONS\lootprops.ini      0x0350bdde		2482237707
fc_lwb_gun01_mark02         MISSIONS\lootprops.ini      0x1859ec64		3019083019
fc_lwb_gun01_mark03         MISSIONS\lootprops.ini      0x115edcf2		2482215179
fc_lwb_gun01_mark04         MISSIONS\lootprops.ini      0xf53a4951		3019076875
fc_fa_gun01_mark01      MISSIONS\lootprops.ini      0x1c6a612c		2383495181
fc_fa_gun01_mark02      MISSIONS\lootprops.ini      0x07633096		2920365069
fc_fa_gun01_mark03      MISSIONS\lootprops.ini      0x0e640000		2383489037
fc_x_gun01_mark01       MISSIONS\lootprops.ini      0xed80e804		2988811471
fc_x_gun01_mark02       MISSIONS\lootprops.ini      0xf689b9be		2451953871
fc_x_gun01_mark03       MISSIONS\lootprops.ini      0xff8e8928		2988821711
fc_x_gun01_mark04       MISSIONS\lootprops.ini      0x1bea1c8b		2451906767
li_gun01_mark01         MISSIONS\lootprops.ini      0xf4e0b16b		3219265993
li_gun01_mark02         MISSIONS\lootprops.ini      0xefe9e0d1		2682414537
li_gun01_mark03         MISSIONS\lootprops.ini      0xe6eed047		3219288521
li_gun01_mark04         MISSIONS\lootprops.ini      0x028a45e4		2682428873
li_gun01_mark05         MISSIONS\lootprops.ini      0x0b8d7572		3219294665
li_gun01_mark06         MISSIONS\lootprops.ini      0x108424c8		2682451401
li_gun02_mark01         MISSIONS\lootprops.ini      0x13e87a09		2682410442
li_gun02_mark02         MISSIONS\lootprops.ini      0x08e12bb3		3219270090
li_gun02_mark03         MISSIONS\lootprops.ini      0x01e61b25		2682404298
li_gun02_mark04         MISSIONS\lootprops.ini      0xe5828e86		3219313098
li_gun02_mark05         MISSIONS\lootprops.ini      0xec85be10		2682439114
li_gun02_mark06         MISSIONS\lootprops.ini      0xf78cefaa		3219306954
li_turret01_mark01      MISSIONS\lootprops.ini      0xe6fce994		3161989646
li_turret01_mark02      MISSIONS\lootprops.ini      0xfdf5b82e		2625134094
li_turret01_mark03      MISSIONS\lootprops.ini      0xf4f288b8		3161999886
li_turret02_mark01      MISSIONS\lootprops.ini      0x01f422f6		2625138189
li_turret02_mark02      MISSIONS\lootprops.ini      0x1afd734c		3161985549
li_turret02_mark03      MISSIONS\lootprops.ini      0x13fa43da		2625111565
br_gun01_mark01         MISSIONS\lootprops.ini      0x0c931b0f		2782804045
br_gun01_mark02         MISSIONS\lootprops.ini      0x179a4ab5		2245936205
br_gun01_mark03         MISSIONS\lootprops.ini      0x1e9d7a23		2782810189
br_gun01_mark04         MISSIONS\lootprops.ini      0xfaf9ef80		2245966925
br_gun02_mark01         MISSIONS\lootprops.ini      0xeb9bd06d		2245948494
br_gun02_mark02         MISSIONS\lootprops.ini      0xf09281d7		2782791758
br_gun02_mark03         MISSIONS\lootprops.ini      0xf995b141		2245925966
br_gun02_mark04         MISSIONS\lootprops.ini      0x1df124e2		2782851150
br_turret01_mark01      MISSIONS\lootprops.ini      0xf0f44675		2259240647
br_turret01_mark02      MISSIONS\lootprops.ini      0xebfd17cf		2796108487
br_turret01_mark03      MISSIONS\lootprops.ini      0xe2fa2759		2259234503
br_turret02_mark01      MISSIONS\lootprops.ini      0x17fc8d17		2796096196
br_turret02_mark02      MISSIONS\lootprops.ini      0x0cf5dcad		2259252932
br_turret02_mark03      MISSIONS\lootprops.ini      0x05f2ec3b		2796118724
ku_gun01_mark01         MISSIONS\lootprops.ini      0xe0be2b11		2829931779
ku_gun01_mark02         MISSIONS\lootprops.ini      0xfbb77aab		2293049603
ku_gun01_mark03         MISSIONS\lootprops.ini      0xf2b04a3d		2829925635
ku_gun01_mark04         MISSIONS\lootprops.ini      0x16d4df9e		2293092611
ku_gun02_mark01         MISSIONS\lootprops.ini      0x07b6e073		2293045504
ku_gun02_mark02         MISSIONS\lootprops.ini      0x1cbfb1c9		2829935872
ku_gun02_mark03         MISSIONS\lootprops.ini      0x15b8815f		2293068032
ku_gun02_mark04         MISSIONS\lootprops.ini      0xf1dc14fc		2829950208
ku_turret01_mark01      MISSIONS\lootprops.ini      0xe837b665		2768965381
ku_turret01_mark02      MISSIONS\lootprops.ini      0xf33ee7df		2232120069
ku_turret01_mark03      MISSIONS\lootprops.ini      0xfa39d749		2768987909
ku_turret02_mark01      MISSIONS\lootprops.ini      0x0f3f7d07		2232107782
ku_turret02_mark02      MISSIONS\lootprops.ini      0x14362cbd		2768977670
ku_turret02_mark03      MISSIONS\lootprops.ini      0x1d311c2b		2232101638
rh_gun01_mark01         MISSIONS\lootprops.ini      0x18c50c63		2854087375
rh_gun01_mark02         MISSIONS\lootprops.ini      0x03cc5dd9		2317194959
rh_gun01_mark03         MISSIONS\lootprops.ini      0x0acb6d4f		2854060751
rh_gun01_mark04         MISSIONS\lootprops.ini      0xeeaff8ec		2317184719
rh_gun02_mark01         MISSIONS\lootprops.ini      0xffcdc701		2317199052
rh_gun02_mark02         MISSIONS\lootprops.ini      0xe4c496bb		2854083276
rh_gun02_mark03         MISSIONS\lootprops.ini      0xedc3a62d		2317209292
rh_gun02_mark04         MISSIONS\lootprops.ini      0x09a7338e		2854036172
rh_turret01_mark01      MISSIONS\lootprops.ini      0x1a0a4c72		3116156937
rh_turret01_mark02      MISSIONS\lootprops.ini      0x01031dc8		2579280905
rh_turret01_mark03      MISSIONS\lootprops.ini      0x08042d5e		3116146697
rh_turret02_mark01      MISSIONS\lootprops.ini      0xfd028710		2579268618
rh_turret02_mark02      MISSIONS\lootprops.ini      0xe60bd6aa		3116169226
rh_turret02_mark03      MISSIONS\lootprops.ini      0xef0ce63c		2579295242
co_gun01_mark01         MISSIONS\lootprops.ini      0xfb8e4a97		2797446218
co_gun01_mark02         MISSIONS\lootprops.ini      0xe0871b2d		2260588618
co_gun01_mark03         MISSIONS\lootprops.ini      0xe9802bbb		2797456458
co_gun01_mark04         MISSIONS\lootprops.ini      0x0de4be18		2260541514
co_gun01_mark05         MISSIONS\lootprops.ini      0x04e38e8e		2797417546
co_gun01_mark06         MISSIONS\lootprops.ini      0x1feadf34		2260551754
co_gun02_mark01         MISSIONS\lootprops.ini      0x1c8681f5		2260592713
co_gun02_mark02         MISSIONS\lootprops.ini      0x078fd04f		2797442121
co_gun02_mark03         MISSIONS\lootprops.ini      0x0e88e0d9		2260566089
co_gun02_mark04         MISSIONS\lootprops.ini      0xeaec757a		2797431881
co_turret01_mark01      MISSIONS\lootprops.ini      0xf5e8bf06		2759818753
co_turret01_mark02      MISSIONS\lootprops.ini      0xeee1eebc		2222916097
co_turret01_mark03      MISSIONS\lootprops.ini      0xe7e6de2a		2759792129
co_turret02_mark01      MISSIONS\lootprops.ini      0x12e07464		2222928386
co_turret02_mark02      MISSIONS\lootprops.ini      0x09e925de		2759806466
co_turret02_mark03      MISSIONS\lootprops.ini      0x00ee1548		2222938626
ge_s_thruster_01        MISSIONS\lootprops.ini      0xf826c05d		2314753344
ge_s_thruster_02        MISSIONS\lootprops.ini      0xe32f91e7		2851612992
ge_s_thruster_03        MISSIONS\lootprops.ini      0xea28a171		2314747200
ge_s_thruster_04        MISSIONS\lootprops.ini      0x0e4c34d2		2851656000
ge_s_cm_01      MISSIONS\lootprops.ini      0x1dfedbf3		2736134149
ge_s_cm_02      MISSIONS\lootprops.ini      0x06f78a49		2199282693
ge_s_cm_02_ammo         MISSIONS\lootprops.ini      0xff0e1942		2210962945
ge_s_cm_03      MISSIONS\lootprops.ini      0x0ff0badf		2736156677
ge_s_cm_03_ammo         MISSIONS\lootprops.ini      0xe81be200		2211307011
missile01_mark01        MISSIONS\lootprops.ini      0x0896d318		3024599373
missile01_mark01_ammo       MISSIONS\lootprops.ini      0x1b8d36b9		3130766926
missile01_mark02        MISSIONS\lootprops.ini      0x139f82a2		2487731533
missile01_mark02_ammo       MISSIONS\lootprops.ini      0x063c3c3f		3130291785
missile01_mark03        MISSIONS\lootprops.ini      0x1a98b234		3024605517
missile01_mark03_ammo       MISSIONS\lootprops.ini      0x1129c77d		3130078795
missile01_mark04        MISSIONS\lootprops.ini      0xfefc2797		2487696717
missile01_mark04_ammo       MISSIONS\lootprops.ini      0xe12cc0ff		3129734726
missile01_mark05        MISSIONS\lootprops.ini      0xf7fb1701		3024562509
missile01_mark05_ammo       MISSIONS\lootprops.ini      0xf6393bbd		3129914948
missile02_mark01        MISSIONS\lootprops.ini      0xef9e187a		2487743822
missile02_mark01_ammo       MISSIONS\lootprops.ini      0x00dcd60d		3139925646
missile02_mark02        MISSIONS\lootprops.ini      0xf49749c0		3024587086
missile02_mark02_ammo       MISSIONS\lootprops.ini      0x1d6ddc8b		3140007561
missile02_mark03        MISSIONS\lootprops.ini      0xfd907956		2487721294
missile02_mark03_ammo       MISSIONS\lootprops.ini      0x0a7827c9		3140351627
missile02_mark04        MISSIONS\lootprops.ini      0x19f4ecf5		3024580942
missile02_mark04_ammo       MISSIONS\lootprops.ini      0xfa7d204b		3140957830
missile02_mark05        MISSIONS\lootprops.ini      0x10f3dc63		2487706958
missile02_mark05_ammo       MISSIONS\lootprops.ini      0xed68db09		3140646532
missile03_mark01        MISSIONS\lootprops.ini      0xfdc2097c		3024613711
missile03_mark01_ammo       MISSIONS\lootprops.ini      0xf7cc4071		3149084366
missile03_mark02        MISSIONS\lootprops.ini      0xe6cb58c6		2487717199
missile03_mark02_ammo       MISSIONS\lootprops.ini      0xea7d4af7		3149723337
missile03_mark03        MISSIONS\lootprops.ini      0xefcc6850		3024591183
missile03_mark03_ammo       MISSIONS\lootprops.ini      0xfd68b1b5		3149510347
missile03_mark04        MISSIONS\lootprops.ini      0x0ba8fdf3		2487711055
missile03_mark04_ammo       MISSIONS\lootprops.ini      0x0d6db637		3148052166
cruise_disruptor01_mark01       MISSIONS\lootprops.ini      0xfd7cbff1		3112104454
cruise_disruptor01_mark01_ammo      MISSIONS\lootprops.ini      0x08415cb5		2834217409
cruise_disruptor01_mark02       MISSIONS\lootprops.ini      0xe675ee4b		2575207942
cruise_disruptor01_mark02_ammo      MISSIONS\lootprops.ini      0x15f05633		2833349062
torpedo01_mark01        MISSIONS\lootprops.ini      0xed735bca		2960932227
torpedo01_mark01_ammo       MISSIONS\lootprops.ini      0x05460279		2987088259
torpedo01_mark02        MISSIONS\lootprops.ini      0xf67a0a70		2424062339
